image_id,breed,coarse,severity,drift,fine_pred,fine_correct,coarse_pred,coarse_correct,error_type
Maine_Coon_204,maine_coon,cat,0.0,0.0,maine_coon,True,cat,True,correct
Maine_Coon_204,maine_coon,cat,0.1,0.0557,maine_coon,True,cat,True,correct
Maine_Coon_204,maine_coon,cat,0.2,0.0621,maine_coon,True,cat,True,correct
Maine_Coon_204,maine_coon,cat,0.3,0.0613,maine_coon,True,cat,True,correct
Maine_Coon_204,maine_coon,cat,0.4,0.0773,maine_coon,True,cat,True,correct
Maine_Coon_204,maine_coon,cat,0.5,0.0731,maine_coon,True,cat,True,correct
Maine_Coon_204,maine_coon,cat,0.6,0.0795,maine_coon,True,cat,True,correct
Maine_Coon_204,maine_coon,cat,0.7,0.1015,maine_coon,True,cat,True,correct
Maine_Coon_204,maine_coon,cat,0.8,0.0978,maine_coon,True,cat,True,correct
Maine_Coon_204,maine_coon,cat,0.9,0.1046,maine_coon,True,cat,True,correct
Maine_Coon_204,maine_coon,cat,1.0,0.1089,maine_coon,True,cat,True,correct
american_bulldog_138,american_bulldog,dog,0.0,0.0,american_bulldog,True,dog,True,correct
american_bulldog_138,american_bulldog,dog,0.1,0.0556,american_bulldog,True,dog,True,correct
american_bulldog_138,american_bulldog,dog,0.2,0.0308,american_bulldog,True,dog,True,correct
american_bulldog_138,american_bulldog,dog,0.3,0.0393,american_bulldog,True,dog,True,correct
american_bulldog_138,american_bulldog,dog,0.4,0.0438,american_bulldog,True,dog,True,correct
american_bulldog_138,american_bulldog,dog,0.5,0.0423,american_bulldog,True,dog,True,correct
american_bulldog_138,american_bulldog,dog,0.6,0.0441,american_bulldog,True,dog,True,correct
american_bulldog_138,american_bulldog,dog,0.7,0.0562,american_bulldog,True,dog,True,correct
american_bulldog_138,american_bulldog,dog,0.8,0.0609,american_bulldog,True,dog,True,correct
american_bulldog_138,american_bulldog,dog,0.9,0.0578,american_bulldog,True,dog,True,correct
american_bulldog_138,american_bulldog,dog,1.0,0.0806,american_bulldog,True,dog,True,correct
keeshond_112,keeshond,dog,0.0,0.0,keeshond,True,dog,True,correct
keeshond_112,keeshond,dog,0.1,0.0215,keeshond,True,dog,True,correct
keeshond_112,keeshond,dog,0.2,0.0309,keeshond,True,dog,True,correct
keeshond_112,keeshond,dog,0.3,0.0413,keeshond,True,dog,True,correct
keeshond_112,keeshond,dog,0.4,0.0498,keeshond,True,dog,True,correct
keeshond_112,keeshond,dog,0.5,0.0569,keeshond,True,dog,True,correct
keeshond_112,keeshond,dog,0.6,0.0575,keeshond,True,dog,True,correct
keeshond_112,keeshond,dog,0.7,0.0616,keeshond,True,dog,True,correct
keeshond_112,keeshond,dog,0.8,0.0835,keeshond,True,dog,True,correct
keeshond_112,keeshond,dog,0.9,0.0894,keeshond,True,dog,True,correct
keeshond_112,keeshond,dog,1.0,0.0935,keeshond,True,dog,True,correct
havanese_157,havanese,dog,0.0,0.0,havanese,True,dog,True,correct
havanese_157,havanese,dog,0.1,0.0271,havanese,True,dog,True,correct
havanese_157,havanese,dog,0.2,0.0249,havanese,True,dog,True,correct
